Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2021-08-13,0.0,0.0081,289.48,neutral
2021-08-16,0.0034,0.0041,293.19,positive
2021-08-17,0.0003,0.012,292.39,neutral
2021-08-18,-0.0005,0.0029,292.04,negative
2021-08-19,0.0007,0.0066,288.6935,neutral
2021-08-20,0.011,0.0349,299.72,positive
2021-08-23,0.0001,0.0236,303.245,neutral
2021-08-24,0.0015,0.0183,305.02,positive
2021-08-25,-0.003,0.0045,304.3,negative
2021-08-26,-0.0004,0.0046,300.99,negative
2021-08-27,-0.0054,-0.0211,298.987,negative
2021-08-30,0.0001,0.0027,301.115,neutral
2021-08-31,0.001,0.0069,304.42,positive
2021-09-01,-0.0002,0.0017,302.865,negative
2021-09-02,0.0002,0.0045,302.2,neutral
2021-09-03,-0.0002,0.0022,300.99,negative
2021-09-06,0.0015,0.0052,300.99,positive
2021-09-07,0.0006,-0.0041,301.005,neutral
2021-09-08,0.0003,0.0029,299.78,neutral
2021-09-09,-0.0013,-0.0085,300.82,negative
2021-09-10,-0.0001,-0.0024,298.415,neutral
2021-09-13,-0.0001,-0.0022,297.55,neutral
2021-09-14,0.001,-0.004,299.56,positive
2021-09-15,0.0484,0.0861,303.26,positive
2021-09-16,0.0335,0.0266,303.76,positive
2021-09-17,0.0004,0.0096,304.17,neutral
2021-09-20,0.0,0.0058,296.33,neutral
2021-09-21,-0.0005,0.0153,295.69,negative
2021-09-22,0.0006,0.0047,296.725,neutral
2021-09-23,0.0,0.0025,298.845,neutral
2021-09-24,0.0021,0.0034,298.23,positive
2021-09-27,0.0,0.0107,296.14,neutral
2021-09-28,-0.0015,-0.0022,289.795,negative
2021-09-29,-0.0087,-0.0067,285.1,negative
2021-09-30,0.001,0.0044,285.71,positive
2021-10-01,-0.0007,0.002,282.1217,negative
2021-10-04,-0.0002,0.0048,287.4,negative
2021-10-05,-0.0009,-0.0077,284.0464,negative
2021-10-06,0.0017,0.0043,285.78,positive
2021-10-07,0.001,0.007,295.175,positive
2021-10-08,0.0003,0.0047,296.219,neutral
2021-10-11,-0.0015,0.0042,292.92,negative
2021-10-12,-0.0008,0.0047,295.34,negative
2021-10-13,-0.0001,-0.0031,294.91,neutral
2021-10-14,0.0002,0.0043,299.21,neutral
2021-10-15,0.0005,-0.1125,302.34,neutral
2021-10-18,0.0025,-0.0054,303.57,positive
2021-10-19,0.0014,0.0059,308.348,positive
2021-10-20,0.002,0.0067,309.21,positive
2021-10-21,0.0018,0.0121,307.1702,positive
2021-10-22,0.0001,0.0057,310.4,neutral
2021-10-25,0.0036,-0.011,309.36,positive
2021-10-26,0.0035,-0.0608,311.0,positive
2021-10-27,0.3285,0.1245,316.0,positive
2021-10-28,0.2203,0.0852,324.325,positive
2021-10-29,0.0091,0.0125,324.13,positive
2021-11-01,0.0061,0.004,331.355,positive
2021-11-02,0.0005,0.0065,330.31,neutral
2021-11-03,0.0008,0.0016,333.9,neutral
2021-11-04,0.0002,0.0015,332.89,neutral
2021-11-05,0.0006,0.002,338.51,neutral
2021-11-08,0.0,-0.0018,337.3,neutral
2021-11-09,0.0015,0.0059,337.1071,positive
2021-11-10,0.0001,0.0019,334.57,neutral
2021-11-11,-0.0002,-0.0026,331.25,negative
2021-11-12,0.0003,-0.0018,333.92,neutral
2021-11-15,-0.0001,0.0092,337.54,neutral
2021-11-16,0.0005,0.0035,335.68,neutral
2021-11-17,0.0006,0.0106,338.94,neutral
2021-11-18,-0.0001,-0.0042,338.18,neutral
2021-11-19,0.0012,0.004,342.64,positive
2021-11-22,0.0029,0.0034,344.62,positive
2021-11-23,0.0005,0.0102,337.05,neutral
2021-11-24,-0.0007,-0.005,336.28,negative
2021-11-25,-0.0004,-0.0038,336.28,negative
2021-11-26,-0.0003,-0.0046,334.35,negative
2021-11-29,-0.0063,-0.0019,334.94,negative
2021-11-30,0.0079,0.0024,335.32,positive
2021-12-01,-0.0009,0.0033,335.13,negative
2021-12-02,0.0006,0.0061,330.3,neutral
2021-12-03,0.0002,-0.0038,331.99,neutral
2021-12-06,-0.0007,-0.0021,323.95,negative
2021-12-07,0.001,0.0072,331.64,positive
2021-12-08,0.002,0.0045,335.31,positive
2021-12-09,-0.0002,0.0029,334.41,negative
2021-12-10,0.0,0.0052,334.98,neutral
2021-12-13,0.001,0.0037,340.68,positive
2021-12-14,-0.0012,0.0059,333.22,negative
2021-12-15,-0.0298,-0.0319,328.61,negative
2021-12-16,0.0006,-0.0061,335.71,neutral
2021-12-17,-0.0037,-0.0084,320.88,negative
2021-12-20,0.0071,-0.0082,320.05,positive
2021-12-21,-0.0034,0.0036,323.29,negative
2021-12-22,0.0035,0.014,328.3,positive
2021-12-23,0.002,0.0184,332.75,positive
2021-12-24,0.004,0.0071,332.75,positive
2021-12-27,0.013,0.0038,335.46,positive
2021-12-28,0.0409,0.0205,343.15,positive
2021-12-29,0.0083,0.0096,341.3,positive
2021-12-30,0.013,0.0102,341.91,positive
2021-12-31,0.0053,0.0053,338.51,positive
2022-01-03,0.0126,0.006,335.35,positive
2022-01-04,-0.0024,0.012,334.83,negative
2022-01-05,-0.0006,-0.0061,325.86,negative
2022-01-06,-0.0095,-0.017,313.15,negative
2022-01-07,-0.0036,0.0154,314.15,negative
2022-01-10,0.0016,-0.0042,309.485,positive
2022-01-11,0.017,-0.0069,313.38,positive
2022-01-12,0.0029,0.005,319.67,positive
2022-01-13,0.002,0.0096,320.4658,positive
2022-01-14,-0.0093,-0.0195,304.25,negative
2022-01-17,0.0017,-0.0334,304.25,positive
2022-01-18,0.0015,-0.0046,304.07,positive
